Title,DOI,Abstract
Proteomic and Metabolomic Characterization of COVID-19 Patient Sera,10.1016/j.cell.2020.05.032,"Early detection and effective treatment of severe COVID-19 patients remain major challenges. Here, we performed proteomic and metabolomic profiling of sera from 46 COVID-19 and 53 control individuals. We then trained a machine learning model using proteomic and metabolomic measurements from a training cohort of 18 non-severe and 13 severe patients. The model was validated using 10 independent patients, 7 of which were correctly classified. Targeted proteomics and metabolomics assays were employed to further validate this molecular classifier in a second test cohort of 19 COVID-19 patients, leading to 16 correct assignments. We identified molecular changes in the sera of COVID-19 patients compared to other groups implicating dysregulation of macrophage, platelet degranulation, complement system pathways, and massive metabolic suppression. This study revealed characteristic protein and metabolite changes in the sera of severe COVID-19 patients, which might be used in selection of potential blood biomarkers for severity evaluation. © 2020 Elsevier Inc.Proteomic and metabolomic analysis of COVID-19 sera identifies differentially expressed factors that correlate with disease severity and highlights dysregulation of multiple immune and metabolic components in clinically severe patients. © 2020 Elsevier Inc."
Classification of COVID-19 patients from chest CT images using multi-objective differential evolution–based convolutional neural networks,10.1007/s10096-020-03901-z,"Early classification of 2019 novel coronavirus disease (COVID-19) is essential for disease cure and control. Compared with reverse-transcription polymerase chain reaction (RT-PCR), chest computed tomography (CT) imaging may be a significantly more trustworthy, useful, and rapid technique to classify and evaluate COVID-19, specifically in the epidemic region. Almost all hospitals have CT imaging machines; therefore, the chest CT images can be utilized for early classification of COVID-19 patients. However, the chest CT-based COVID-19 classification involves a radiology expert and considerable time, which is valuable when COVID-19 infection is growing at rapid rate. Therefore, an automated analysis of chest CT images is desirable to save the medical professionals’ precious time. In this paper, a convolutional neural networks (CNN) is used to classify the COVID-19-infected patients as infected (+ve) or not (−ve). Additionally, the initial parameters of CNN are tuned using multi-objective differential evolution (MODE). Extensive experiments are performed by considering the proposed and the competitive machine learning techniques on the chest CT images. Extensive analysis shows that the proposed model can classify the chest CT images at a good accuracy rate. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature."
Transient appearance of EDTA dependent pseudothrombocytopenia in a patient with 2019 novel coronavirus pneumonia,10.1080/09537104.2020.1760231,"EDTA dependent pseudothrombocytopenia (EDTA-PCTP) is a phenomenon that characterized by a spurious decrease of platelets in vitro due to the aggregation of platelets in EDTA anticoagulant blood samples. We report the first case of a transient appearance of EDTA-PCTP in a patient with 2019 novel coronavirus pneumonia (COVID-19). A 59-year-old woman was admitted to the isolated ward for severe type of 2019 novel coronavirus pneumonia. At the time of admission, her platelet count was in a normal range. Two days later, her platelet count decreased gradually without any signs or symptoms of bleeding. Since the peripheral blood smear showed a platelet aggregation, a blood sample anticoagulanted with citrate was tested and the number of platelet was normal. The phenomenon disappeared after 17 days when the patient was cured. This case emphasized the importance of peripheral blood smear and clinical manifestation, especially in the differential diagnosis of thrombocytopenia. © 2020 Taylor & Francis Group, LLC."
Immune pathogenesis of covid-19 intoxication: Storm or silence?,10.3390/ph13080166,"Dysregulation of the immune system undoubtedly plays an important and, perhaps, determining role in the COVID-19 pathogenesis. While the main treatment of the COVID-19 intoxication is focused on neutralizing the excessive inflammatory response, it is worth considering an equally significant problem of the immunosuppressive conditions including immuno-paralysis, which lead to the secondary infection. Therefore, choosing a treatment strategy for the immune-mediated complications of coronavirus infection, one has to pass between Scylla and Charybdis, so that, in the fight against the “cytokine storm,” it is vital not to miss the point of the immune silence that turns into immuno-paralysis. © 2020 by the authors. Licensee MDPI, Basel, Switzerland."
Lopinavir/ritonavir is associated with pneumonia resolution in COVID-19 patients with influenza coinfection: A retrospective matched-pair cohort study,10.1002/jmv.26260,"During the early stages of the pandemic, some coronavirus disease (COVID-19) patients were misdiagnosed as having influenza, which aroused the concern that some deaths attributed to influenza were actually COVID-19-related. However, little is known about whether coinfection with influenza contributes to severity of COVID-19 pneumonia, and the optimal therapeutic strategy for these patients. We retrospectively studied 128 hospitalized patients with COVID-19 pneumonia. All patients were positive severe acute respiratory syndrome coronavirus 2 positive by nucleic acid detection. Sixty-four cases were coinfected with influenza A/B and the other 64 were influenza negative, matched by age, sex, and days from onset of symptoms. Among the 64 coinfected patients, 54 (84.4%) were coinfected with influenza A, and 10 (15.6%) with influenza B. The median duration of viral shedding time from admission was longer for patients with influenza coinfection (17.0 days) than for those without influenza coinfection (12.0 days) (P <.001). The multivariable Cox proportional hazards model showed that the hazards ratio of resolution in lung involvement was 1.878 (P =.020) for patients administered lopinavir/ritonavir, compared with those not administered lopinavir/ritonavir (95% confidence interval: 1.103-3.196). Among influenza coinfected patients, those treated with lopinavir/ritonavir exhibited faster pneumonia resolution within 2 weeks after symptom onset (37% vs 1%; P =.001). There was no difference in lung involvement between influenza coinfected and noninfected groups. Lopinavir/ritonavir eliminated the difference of lung involvement between influenza coinfected and noninfected groups, indicating that lopinavir/ritonavir is associated with pneumonia resolution in COVID-19. © 2020 Wiley Periodicals LLC"
Evaluating the use of posterior oropharyngeal saliva in a point-of-care assay for the detection of SARS-CoV-2,10.1080/22221751.2020.1775133,"During the Coronavirus disease 2019 (COVID-19) pandemic, logistic problems associated with specimen collection limited the SARS-CoV-2 testing, especially in the community. In this study, we assessed the use of posterior oropharyngeal saliva as specimens for the detection of SARS-CoV-2 in an automated point-of-care molecular assay. Archived nasopharyngeal swab (NPS) and posterior oropharyngeal saliva specimens of 58 COVID-19 patients were tested with the Xpert® Xpress SARS-CoV-2 assay. SARS-CoV-2 was detected in either NPS or saliva specimens of all patients. Among them, 84.5% (49/58) tested positive in both NPS and saliva, 10.3% (6/58) tested positive in NPS only, and 5.2% (3/58) tested positive in saliva only. No significant difference in the detection rate was observed between NPS and saliva (McNemar’s test p = 0.5078). The detection rate was slightly higher for N2 (NPS 94.8% and Saliva 93.1%) than that of the E gene target (Saliva: 89.7% vs 82.8%) on both specimen types. Significantly earlier median Ct value was observed for NPS comparing to that of saliva on both E (26.8 vs 29.7, p = 0.0002) and N2 gene target (29.3 vs 32.3, p = 0.0002). The median Ct value of E gene target was significantly earlier than that of the N2 gene target for both NPS (26.8 vs 29.3, p &lt; 0.0001) and saliva (29.7 vs 32.3, p &lt; 0.0001). In conclusion, posterior oropharyngeal saliva and NPS were found to have similar detection rates in the point-of-care test for SARS-CoV-2 detection. Since posterior oropharyngeal saliva can be collected easily, the use of saliva as an alternative specimen type for SARS-CoV-2 detection is recommended. © 2020, © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group, on behalf of Shanghai Shangyixun Cultural Communication Co., Ltd."
BBMRI-ERIC’s contributions to research and knowledge exchange on COVID-19,10.1038/s41431-020-0634-8,"During the COVID-19 pandemic, the European biobanking infrastructure is in a unique position to preserve valuable biological material complemented with detailed data for future research purposes. Biobanks can be either integrated into healthcare, where preservation of the biological material is a fork in clinical routine diagnostics and medical treatment processes or they can also host prospective cohorts or material related to clinical trials. The paper discussed objectives of BBMRI-ERIC, the European research infrastructure established to facilitate access to quality-defined biological materials and data for research purposes, with respect to the COVID-19 crisis: (a) to collect information on available European as well as non-European COVID-19-relevant biobanking resources in BBMRI-ERIC Directory and to facilitate access to these via BBMRI-ERIC Negotiator platform; (b) to help harmonizing guidelines on how data and biological material is to be collected to maximize utility for future research, including large-scale data processing in artificial intelligence, by participating in activities such as COVID-19 Host Genetics Initiative; (c) to minimize risks for all involved parties dealing with (potentially) infectious material by developing recommendations and guidelines; (d) to provide a European-wide platform of exchange in relation to ethical, legal, and societal issues (ELSI) specific to the collection of biological material and data during the COVID-19 pandemic. © 2020, The Author(s)."
Expert consensus on prevention and control of COVID-19 in the neurological intensive care unit (first edition),10.1136/svn-2020-000409,"During the COVID-19 epidemic, the treatment of critically ill patients has been increasingly difficult and challenging. During the epidemic, some patients with neurological diseases also have COVID-19, which could be misdiagnosed and cause silent transmission and nosocomial infection. Such risk is high in a neurological intensive care unit (NCU). Therefore, prevention and control of epidemic in critically ill patients is of utmost importance. The principle of NCU care should include comprehensive screening and risk assessment, weighing risk against benefits and reducing the risk of COVID-19 transmission while treating patients as promptly as possible. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ."
It can be dangerous to take epidemic curves of COVID-19 at face value,10.17269/s41997-020-00367-6,"During an epidemic with a new virus, we depend on modelling to plan the response: but how good are the data? The aim of our work was to better understand the impact of misclassification errors in identification of true cases of COVID-19 on epidemic curves. Data originated from Alberta, Canada (available on 28 May 2020). There is presently no information of sensitivity (Sn) and specificity (Sp) of laboratory tests used in Canada for the causal agent for COVID-19. Therefore, we examined best attainable performance in other jurisdictions and similar viruses. This suggested perfect Sp and Sn 60–95%. We used these values to re-calculate epidemic curves to visualize the potential bias due to imperfect testing. If the sensitivity improved, the observed and adjusted epidemic curves likely fall within 95% confidence intervals of the observed counts. However, bias in shape and peak of the epidemic curves can be pronounced, if sensitivity either degrades or remains poor in the 60–70% range. These issues are minor early in the epidemic, but hundreds of undiagnosed cases are likely later on. It is therefore hazardous to judge progress of the epidemic based on observed epidemic curves unless quality of testing is better understood. © 2020, The Canadian Public Health Association."
An update on antiviral antibody-based biopharmaceuticals,10.1016/j.intimp.2020.106760,"Due to the vastness of the science virology, it is no longer an offshoot solely of the microbiology. Viruses have become as the causative agents of major epidemics throughout history. Many therapeutic strategies have been used for these microorganisms, and in this way the recognizing of potential targets of viruses is of particular importance for success. For decades, antibodies and antibody fragments have occupied a significant body of the treatment approaches against infectious diseases. Because of their high affinity, they can be designed and engineered against a variety of purposes, mainly since antibody fragments such as scFv, nanobody, diabody, and bispecific antibody have emerged owing to their small size and interesting properties. In this review, we have discussed the antibody discovery and molecular and biological design of antibody fragments as inspiring therapeutic and diagnostic agents against viral targets. © 2020 Elsevier B.V."
Antiviral efficacies of FDA-approved drugs against SARS-COV-2 infection in ferrets,10.1128/mBio.01114-20,"Due to the urgent need of a therapeutic treatment for coronavirus (CoV) disease 2019 (COVID-19) patients, a number of FDA-approved/repurposed drugs have been suggested as antiviral candidates at clinics, without sufficient information. Furthermore, there have been extensive debates over antiviral candidates for their effectiveness and safety against severe acute respiratory syndrome CoV 2 (SARS-CoV-2), suggesting that rapid preclinical animal studies are required to identify potential antiviral candidates for human trials. To this end, the antiviral efficacies of lopinavir-ritonavir, hydroxychloroquine sulfate, and emtricitabine-tenofovir for SARS-CoV-2 infection were assessed in the ferret infection model. While the lopinavir-ritonavir-, hydroxychloroquine sulfate-, or emtricitabine-tenofovir-treated group exhibited lower overall clinical scores than the phosphate-buffered saline (PBS)-treated control group, the virus titers in nasal washes, stool specimens, and respiratory tissues were similar between all three antiviral-candidate-treated groups and the PBS-treated control group. Only the emtricitabine-tenofovir-treated group showed lower virus titers in nasal washes at 8 days postinfection (dpi) than the PBS-treated control group. To further explore the effect of immune suppression on viral infection and clinical outcome, ferrets were treated with azathioprine, an immunosuppressive drug. Compared to the PBS-treated control group, azathioprineimmunosuppressed ferrets exhibited a longer period of clinical illness, higher virus titers in nasal turbinate, delayed virus clearance, and significantly lower serum neutralization (SN) antibody titers. Taken together, all antiviral drugs tested marginally reduced the overall clinical scores of infected ferrets but did not significantly affect in vivo virus titers. Despite the potential discrepancy of drug efficacies between animals and humans, these preclinical ferret data should be highly informative to future therapeutic treatment of COVID-19 patients. IMPORTANCE The SARS-CoV-2 pandemic continues to spread worldwide, with rapidly increasing numbers of mortalities, placing increasing strain on health care systems. Despite serious public health concerns, no effective vaccines or therapeutics have been approved by regulatory agencies. In this study, we tested the FDA-approved drugs lopinavir-ritonavir, hydroxychloroquine sulfate, and emtricitabine-tenofovir against SARS-CoV-2 infection in a highly susceptible ferret infection model. While most of the drug treatments marginally reduced clinical symptoms, they did not reduce virus titers, with the exception of emtricitabine-tenofovir treatment, which led to diminished virus titers in nasal washes at 8 dpi. Further, the azathioprine-treated immunosuppressed ferrets showed delayed virus clearance and low SN titers, resulting in a prolonged infection. As several FDA-approved or repurposed drugs are being tested as antiviral candidates at clinics without sufficient information, rapid preclinical animal studies should proceed to identify therapeutic drug candidates with strong antiviral potential and high safety prior to a human efficacy trial. © 2020 Park et al."
Strategy for university emergency room management at the beginning of an epidemic using COVID-19 as an example [Strategie einer universitären Notaufnahme für das COVID-19-Management im Rahmen einer beginnenden Epidemie],10.1007/s10049-020-00759-8,"Due to the increasing number of COVID-19 infections worldwide, all hospitals are faced with the challenge associated with the pandemic. In particular, emergency rooms must prepare and implement completely new workflows. This applies in particular to patient screening and selection (triage). Close cooperation with other specialist areas such as hygiene, infectiology or virology is also necessary in order to implement appropriate treatment concepts before, during and after the diagnosis is completed. In addition, communication and quality and risk management are highly relevant in addition to the clinical aspects. This article uses COVID-19 as an example to describe how emergency rooms can prepare for a pandemic. © 2020, Springer Medizin Verlag GmbH, ein Teil von Springer Nature."
Capillary electrophoresis of PCR fragments with 5´-labelled primers for testing the SARS-Cov-2,10.1016/j.jviromet.2020.113937,"Due to the huge demand for SARS-Cov-2 determination,alternatives to the standard qtPCRtestsare potentially useful for increasing the number of samples screened. Our aim was to develop a direct fluorescent PCR capillary-electrophoresis detection of the viral genome. We validated this approach on several SARS-Cov-2 positive and negative samples.We isolated the naso-pharingealRNA from 20 positive and 10 negative samples. The cDNA was synthesised and two fragments of the SARS-Cov-2 were amplified. One of the primers for each pair was 5´-end fluorochrome labelled. The amplifications were subjected to capillary electrophoresis in ABI3130 sequencers to visualize the fluorescent peaks.The two SARS-Cov-2 fragments were successfully amplified in the positive samples, while the negative samples did not render fluorescent peaks. In conclusion, we describe and alternative method to identify the SARS-Cov-2 genome that could be scaled to the analysis of approximately 100 samples in less than 5 h. By combining a standard PCR with capillary electrophoresis our approach would overcome the limits imposed to many labs by the qtPCR and increase the testing capacity. © 2020 Elsevier B.V."
COVID-19 and beyond: implications for dental radiography,10.1038/s41415-020-1842-x,"Due to the coronavirus pandemic, all routine dental care in the UK ceased on 25 March 2020. Liverpool University Dental Hospital (LUDH) responded by commencing an emergency dental service on the same date. Clinicians were redeployed within the Hospital to meet the needs of the service, including staffing of the radiology department. LUDH followed Royal College recommendations by taking extraoral radiographs in preference to intraoral radiographs due to the risk of inducing an aerosol. Issues were identified with clinical diagnosis from sectional panoramic radiographs, which led to the introduction of extraoral bitewings being taken as an alternative. A quality assurance audit found that these images provided a substantially lower radiation dose and produced excellent quality images with improved diagnostic accuracy. This article aims to summarise how our radiography practices changed in response to the coronavirus and how the lessons that we have learnt provide an opportunity to modify and improve future practice, beyond the pandemic. © 2020, British Dental Association."
Telehealth for Pediatric Cardiology Practitioners in the Time of COVID-19,10.1007/s00246-020-02411-1,"Due to the COVID-19 pandemic, there has been an increased interest in telehealth as a means of providing care for children by a pediatric cardiologist. In this article, we provide an overview of telehealth utilization as an extension of current pediatric cardiology practices and provide some insight into the rapid shift made to quickly implement these telehealth services into our everyday practices due to COVID-19 personal distancing requirements. Our panel will review helpful tips into the selection of appropriate patient populations and specific cardiac diagnoses for telehealth that put patient and family safety concerns first. Numerous practical considerations in conducting a telehealth visit must be taken into account to ensure optimal use of this technology. The use of adapted staffing and billing models and expanded means of remote monitoring will aid in the incorporation of telehealth into more widespread pediatric cardiology practice. Future directions to sustain this platform include the refinement of telehealth care strategies, defining best practices, including telehealth in the fellowship curriculum and continuing advocacy for technology. © 2020, Springer Science+Business Media, LLC, part of Springer Nature."
The European response to CoviD-19: From regulatory emulation to regulatory coordination?,10.1017/err.2020.44,"Due to its borderless nature, COVID-19 has been a matter of common European interest since its very first detection on the continent. Yet this pandemic outbreak has largely been handled as an essentially national matter. Member States adopted their own different, uncoordinated and at times competing national responses according to their distinctive risk analysis frameworks, with little regard1 for the scientific and management advice provided by the European Union (EU), notably its dedicated legal framework for action on cross-border health threats.2 To justify such an outcome as the inevitable consequence of the EU's limited competence in public health is a well-rehearsed yet largely inaccurate argument3 that calls for closer scrutiny. © 2020 Cambridge University Press. All rights reserved."
"Molecular diagnosis of COVID-19 in different biologic matrix, their diagnostic validity and clinical relevance: A systematic review",10.1016/j.lfs.2020.118207,"Due to COVID 19 outbreak many studies are being conducted for therapeutic strategies and vaccines but detection methods play an important role in the containment of the disease. Hence, this systematic review aims to evaluate the effectiveness of the molecular detection techniques in COVID-19. For framing the systematic review 6 literature databases (PubMed, EMBASE, OVID, Web of Science, Scopus and Google Scholar) were searched for relevant studies and articles were screened for relevant content till 25th April 2020. Observations from this systematic review reveal the utility of RT-PCR with serological testing as one such method cannot correlate with accurate results. Availability of point of care devices do not conform to sensitivity and specificity in comparison to the conventional methods due to lack of clinical investigations. Pivotal aim of molecular and serological research is the development of detection methods that can support the clinical decision making of patients suspected with SARS-CoV-2. However, none of the methods were 100% sensitive and specific; hence additional studies are required to overcome the challenges addressed here. We hope that the present article with its observations and suggestions will assist the researchers to realize this vision in future. © 2020"
'Self-collected upper respiratory tract swabs for COVID-19 test': A feasible way to increase overall testing rate and conserve resources in South Africa,10.4102/PHCFM.V12I1.2445,"Disparity in the testing rate of SARS-CoV-2 amongst different countries and regions is a very big challenge in understanding the COVID-19 pandemic. Although some developed countries have a very high testing rate and subsequently a high number of confirmed cases, less developed countries have a low testing rate and an illusive positivity rate. Collection of the upper respiratory specimen is not often comfortable. The discomfort could be accompanied with epistaxis and headache in some patients. The trained personnel taking the swab is forced to protect self with personal protective equipment (PPE) to avoid infections that may result from the patient due to provoked cough, sneezing and spitting. This study looks into an efficient means of increasing the testing rate for COVID 19 without compromising the quality. A literature review was conducted on the different modalities of collecting upper respiratory specimens and assessing the efficacy of samples collected using different methods in terms of the laboratory yield of different pathogens. Selfcollection of upper respiratory tract specimen for diagnostic purposes is not new. Studies have demonstrated that trained staff-collected nasal swabs are not in any way superior to self-collected or parent-assisted swabs. The laboratory yield of different specimens is not determined by who took the sample but by the anatomical site from where the specimen was collected. Self collection of the upper respiratory swabs will not only increase the testing rate but also preserve the scarce PPE and reduces health care worker's COVID 19 infection rate in South Africa. © 2020. The Authors."
"Mesenchymal stem cell derived extracellular vesicles: Promising immunomodulators against autoimmune, autoinflammatory disorders and SARS-CoV-2 infection",10.3906/biy-2002-79,"Discovery of novel and broad-acting immunomodulators is of critical importance for the prevention and treatment of disorders occurring due to overexuberant immune responseincluding SARS-CoV-2 triggered cytokine storm leading to lung pathology and mortality during the ongoing viral pandemic. Mesenchymal stem/stromal cells (MSCs), highly regarded for their regenerative capacities, also possessesremarkable immunoregulatory functions affecting all types of innate and adaptive immune cells. Owing to that, MSCs have been heavily investigated in clinic for the treatment of autoimmune and inflammatory diseases along with transplant rejection. Extensive research in the last decaderevealed that MSCs carry out most of their functions through paracrine factors which are soluble mediators and extracellular vesicles (EVs). EVs, including exosomes and microvesicles, are an efficient way of intercellular communication due to their unique ability to carry biological messages such as transcription factors, growth factors, cytokines, mRNAs and miRNAs over long distances. EVs originate through direct budding of the cell membrane or the endosomal secretion pathway and they consist of the cytosolic and membrane components of their parent cell. Therefore, they are able to mimic the characteristics of the parent cell, affecting the target cells upon binding or internalization. EVs secreted by MSCs are emerging as a cell-free alternative to MSC-based therapies. MSC EVs are being tested in preclinical and clinical settings where they exhibit exceptional immunosuppressivecapacity. They regulate the migration, proliferation, activation and polarization of various immune cells, promoting a tolerogenic immune response while inhibiting inflammatory response. Being as effective immunomodulators as their parent cells, MSC EVs are also preferable over MSC-based therapies due to their lower risk of immunogenicity, tumorigenicity and overall superior safety. In this review, we present the outcomes of preclinical and clinical studies utilizing MSC EVs as therapeutic agents for the treatment of a wide variety of immunological disorders. © TUBİTAK."
Swine enteric alphacoronavirus (swine acute diarrhea syndrome coronavirus): An update three years after its discovery,10.1016/j.virusres.2020.198024,"Discovered in 2017, swine enteric alphacoronavirus (SeACoV), also known as swine acute diarrhea syndrome coronavirus (SADS-CoV) or porcine enteric alphacoronavirus (PEAV), is the fifth porcine CoV identified in diarrheal piglets. The presumed name “SADS-CoV” may not be appropriate since current studies have not provided strong evidence for high pathogenicity of the virus. SeACoV was the most recently recognized CoV of potential bat origin prior to the novel human severe acute respiratory syndrome CoV 2 (SARS-CoV-2), associated with the pandemic CoV disease 2019 (COVID-19). Although SeACoV is recognized as a regional epizootic virus currently, it possesses the most extensive cell species tropism in vitro among known CoVs. This review summarizes the emergence of SeACoV and updates the research progress made from 2017 to early 2020, mainly focusing on the etiology, epidemiology, evolutionary perspective, potential for interspecies transmission, pathogenesis and diagnosis. © 2020 Elsevier B.V."
Analytical comparisons of SARS-COV-2 detection by qRT-PCR and ddPCR with multiple primer/probe sets,10.1080/22221751.2020.1772679,"Different primers/probes sets have been developed all over the world for the nucleic acid detection of SARS-CoV-2 by quantitative real time polymerase chain reaction (qRT-PCR) as a standard method. In our recent study, we explored the feasibility of droplet digital PCR (ddPCR) for clinical SARS-CoV-2 nucleic acid detection compared with qRT-PCR using the same primer/probe sets issued by Chinese Center for Disease Control and Prevention (CDC) targeting viral ORF1ab or N gene, which showed that ddPCR could largely minimize the false negatives reports resulted by qRT-PCR [Suo T, Liu X, Feng J, et al. ddPCR: a more sensitive and accurate tool for SARS-CoV-2 detection in low viral load specimens. medRxiv [Internet]. 2020;2020.02.29.20029439. Available from: https://medrxiv.org/content/early/2020/03/06/2020.02.29.20029439.abstract]. Here, we further stringently compared the performance of qRT-PCR and ddPCR for 8 primer/probe sets with the same clinical samples and conditions. Results showed that none of 8 primer/probe sets used in qRT-PCR could significantly distinguish true negatives and positives with low viral load (10−4 dilution). Moreover, false positive reports of qRT-PCR with UCDC-N1, N2 and CCDC-N primers/probes sets were observed. In contrast, ddPCR showed significantly better performance in general for low viral load samples compared to qRT-PCR. Remarkably, the background readouts of ddPCR are relatively lower, which could efficiently reduce the production of false positive reports. © 2020, © 2020 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group, on behalf of Shanghai Shangyixun Cultural Communication Co., Ltd."
Variplex™ test system fails to reliably detect SARS-CoV-2 directly from respiratory samples without RNA extraction,10.1007/s10096-020-03983-9,"Diagnosis of COVID is performed by PCR methods, but their capacity is limited by the requirement of high-level facilities and instruments. The loop-mediated isothermal amplification (LAMP) method has been utilized for the detection of isolated virus-specific RNA. Preliminary data suggest the possibility of isothermal amplification directly from respiratory samples without RNA extraction. All patients admitted to our hospital were screened for SARS-CoV-2 by routine. Respiratory samples were tested by variplex system based on LAMP method directly without RNA extraction and by PCR. Primary endpoint was the false-negative rate of variplex test compared with PCR as gold standard. In 109 patients variplex test and PCR assay were performed simultaneously. Median age was 80 years and male/female ratio was 40/60%. The prevalence of PCR-confirmed COVID diagnosis was 43.1%. Variplex test was positive in 13.8%. False-negative rate of variplex test compared with PCR was 83.0%. The potential of LAMP technology using isolated RNA has been demonstrated impressively by others, and excellent sensitivity and specificity of detecting SARS-CoV-2 has been reported. However, without RNA extraction, the variplex test system failed to reliably detect SARS-CoV-2 directly in respiratory samples. © 2020, The Author(s)."
COVID-19 faecal-oral transmission: Are we asking the right questions?,10.1016/j.scitotenv.2020.138919,"Detection of the SARS-CoV-2 virus in stools and sewage has recently been reported, raising the hypothesis of faecal-oral transmission. If confirmed, this could have far-reaching consequences for public health and for pandemic control strategies. In this paper, we argue that a comprehensive and more nuanced analysis is required to test this hypothesis, taking into consideration both environmental dynamics and the persistence of viral infectivity. First, we examine the evidence regarding the presence of the virus in stools and sewage. Then we discuss the current framework of disease transmission through water and excreta and how the transmission of a respiratory disease fits into it. Against this background, we propose a framework to test the faecal-oral hypothesis, unpacking the different environmental routes from faeces to the mouth of a susceptible person. This framework should not be seen as a confirmation of the hypothesis but rather as an expanded view of its complexities, which could help shaping an agenda for research into a number of unanswered questions. Finally, the paper briefly discusses practical implications, based on current knowledge, for containment of the pandemic. © 2020 Elsevier B.V."
Shortlisting SARS-CoV-2 Peptides for Targeted Studies from Experimental Data-Dependent Acquisition Tandem Mass Spectrometry Data,10.1002/pmic.202000107,"Detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a crucial tool for fighting the COVID-19 pandemic. This dataset brief presents the exploration of a shotgun proteomics dataset acquired on SARS-CoV-2 infected Vero cells. Proteins from inactivated virus samples were extracted, digested with trypsin, and the resulting peptides were identified by data-dependent acquisition tandem mass spectrometry. The 101 peptides reporting for six viral proteins were specifically analyzed in terms of their analytical characteristics, species specificity and conservation, and their proneness to structural modifications. Based on these results, a shortlist of 14 peptides from the N, S, and M main structural proteins that could be used for targeted mass-spectrometry method development and diagnostic of the new SARS-CoV-2 is proposed and the best candidates are commented. © 2020 The Authors. Proteomics published by WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim"
Using influenza surveillance networks to estimate state-specific prevalence of SARS-CoV-2 in the United States,10.1126/scitranslmed.abc1126,"Detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infections to date has relied heavily on reverse transcription polymerase chain reaction testing. However, limited test availability, high false-negative rates, and the existence of asymptomatic or subclinical infections have resulted in an undercounting of the true prevalence of SARS-CoV-2. Here, we show how influenza-like illness (ILI) outpatient surveillance data can be used to estimate the prevalence of SARS-CoV-2. We found a surge of non-influenza ILI above the seasonal average in March 2020 and showed that this surge correlated with coronavirus disease 2019 (COVID-19) case counts across states. If one-third of patients infected with SARS-CoV-2 in the United States sought care, this ILI surge would have corresponded to more than 8.7 million new SARS-CoV-2 infections across the United States during the 3-week period from 8 to 28 March 2020. Combining excess ILI counts with the date of onset of community transmission in the United States, we also show that the early epidemic in the United States was unlikely to have been doubling slower than every 4 days. Together, these results suggest a conceptual model for the COVID-19 epidemic in the United States characterized by rapid spread across the United States with more than 80% infected individuals remaining undetected. We emphasize the importance of testing these findings with seroprevalence data and discuss the broader potential to use syndromic surveillance for early detection and understanding of emerging infectious diseases. Copyright © 2020 The Authors, some rights reserved; exclusive licensee American Association for the Advancement of Science. No claim to original U.S. Government Works. Distributed under a Creative Commons Attribution License 4.0 (CC BY)."
Seroprevalence of immunoglobulin M and G antibodies against SARS-CoV-2 in China,10.1038/s41591-020-0949-6,"Detection of asymptomatic or subclinical novel human coronavirus SARS-CoV-2 infection is critical for understanding the overall prevalence and infection potential of COVID-19. To estimate the cumulative prevalence of SARS-CoV-2 infection in China, we evaluated the host serologic response, measured by the levels of immunoglobulins M and G in 17,368 individuals, in the city of Wuhan, the epicenter of the COVID-19 pandemic in China, and geographic regions in the country, during the period from 9 March 2020 to 10 April 2020. In our cohorts, the seropositivity in Wuhan varied between 3.2% and 3.8% in different subcohorts. Seroposivity progressively decreased in other cities as the distance to the epicenter increased. Patients who visited a hospital for maintenance hemodialysis and healthcare workers also had a higher seroprevalence of 3.3% (51 of 1,542, 2.5–4.3%, 95% confidence interval (CI)) and 1.8% (81 of 4,384, 1.5–2.3%, 95% CI), respectively. More studies are needed to determine whether these results are generalizable to other populations and geographic locations, as well as to determine at what rate seroprevalence is increasing with the progress of the COVID-19 pandemic. Serologic surveillance has the potential to provide a more faithful cumulative viral attack rate for the first season of this novel SARS-CoV-2 infection. © 2020, The Author(s), under exclusive licence to Springer Nature America, Inc."
Detection of SARS-CoV-2 in nasal swabs using MALDI-MS,10.1038/s41587-020-0644-7,"Detection of SARS-CoV-2 using RT–PCR and other advanced methods can achieve high accuracy. However, their application is limited in countries that lack sufficient resources to handle large-scale testing during the COVID-19 pandemic. Here, we describe a method to detect SARS-CoV-2 in nasal swabs using matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS) and machine learning analysis. This approach uses equipment and expertise commonly found in clinical laboratories in developing countries. We obtained mass spectra from a total of 362 samples (211 SARS-CoV-2-positive and 151 negative by RT–PCR) without prior sample preparation from three different laboratories. We tested two feature selection methods and six machine learning approaches to identify the top performing analysis approaches and determine the accuracy of SARS-CoV-2 detection. The support vector machine model provided the highest accuracy (93.9%), with 7% false positives and 5% false negatives. Our results suggest that MALDI-MS and machine learning analysis can be used to reliably detect SARS-CoV-2 in nasal swab samples. © 2020, The Author(s), under exclusive licence to Springer Nature America, Inc."
